,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
46,AAL,2017-05-03,43.67,44.17,43.42,43.92,5126034.0,0.0,1.0,43.4853523493,43.9832382246,43.2364094116,43.7342952869,5126034.0
47,AAL,2017-05-04,44.18,44.39,43.195,43.91,4415417.0,0.0,1.0,43.9931959421,44.2023080097,43.0123607677,43.7243375694,4415417.0
48,AAL,2017-05-05,44.0,44.52,43.77,44.51,5453917.0,0.0,1.0,43.813957027,44.3317583373,43.5849295243,44.3218006198,5453917.0
49,AAL,2017-05-08,44.6,45.045,44.515,44.94,6185608.0,0.0,1.0,44.4114200773,44.8545385064,44.3267794785,44.7499824725,6185608.0
50,AAL,2017-05-09,45.4,47.3,45.25,47.08,11096614.0,0.0,1.0,45.2080374778,47.100003804,45.0586717152,46.8809340189,11096614.0
51,AAL,2017-05-10,47.03,47.78,46.67,47.3,7338623.0,0.0,1.0,46.8311454313,47.5779742443,46.4726676011,47.100003804,7338623.0
52,AAL,2017-05-11,47.21,47.24,45.65,46.54,5806048.0,0.0,1.0,47.0103843464,47.040257499,45.4569804155,46.3432172735,5806048.0
53,AAL,2017-05-12,46.26,46.44,45.73,45.83,3862123.0,0.1,1.0,46.1649126413,46.3445426516,45.6360020555,45.7357965057,3862123.0
54,AAL,2017-05-15,45.7,46.99,45.69,46.675,5512463.0,0.0,1.0,45.6060637205,46.8934121274,45.5960842754,46.5790596095,5512463.0
55,AAL,2017-05-16,46.79,47.1329,44.74,46.94,4623545.0,0.0,1.0,46.6938232271,47.0360183967,44.648036999,46.8435149024,4623545.0
56,AAL,2017-05-17,46.25,46.56,44.88,44.92,6876072.0,0.0,1.0,46.1549331963,46.4642959918,44.7877492292,44.8276670092,6876072.0
57,AAL,2017-05-18,44.4,45.4,44.38,44.65,6602158.0,0.0,1.0,44.3087358684,45.30668037,44.2887769784,44.5582219938,6602158.0
58,AAL,2017-05-19,44.8,45.38,44.74,45.22,6687527.0,0.0,1.0,44.7079136691,45.28672148,44.648036999,45.1270503597,6687527.0
59,AAL,2017-05-22,45.33,46.25,45.33,46.21,4400137.0,0.0,1.0,45.2368242549,46.1549331963,45.2368242549,46.1150154162,4400137.0
60,AAL,2017-05-23,46.27,46.69,45.94,46.66,2973686.0,0.0,1.0,46.1748920863,46.594028777,45.8455704008,46.5640904419,2973686.0
61,AAL,2017-05-24,46.74,47.43,46.65,46.77,3864587.0,0.0,1.0,46.6439260021,47.3325077081,46.5541109969,46.6738643371,3864587.0
62,AAL,2017-05-25,46.99,48.12,46.82,48.02,5427787.0,0.0,1.0,46.8934121274,48.0210894142,46.7237615622,47.921294964,5427787.0
63,AAL,2017-05-26,47.79,48.82,47.7294,48.74,5949998.0,0.0,1.0,47.6917677287,48.7196505653,47.6312922919,48.6398150051,5949998.0
64,AAL,2017-05-30,48.32,48.5775,47.79,47.96,5436698.0,0.0,1.0,48.2206783145,48.4776490236,47.6917677287,47.8614182939,5436698.0
65,AAL,2017-05-31,48.2,48.48,47.53,48.41,4273743.0,0.0,1.0,48.1009249743,48.3803494347,47.4323021583,48.3104933196,4273743.0
66,AAMC,2017-05-01,76.9,77.0,73.55,75.0537,16259.0,0.0,1.0,76.9,77.0,73.55,75.0537,16259.0
67,AAMC,2017-05-02,77.25,77.25,70.463,71.75,10129.0,0.0,1.0,77.25,77.25,70.463,71.75,10129.0
